Symbol	Length	LTL_S1	LTL_S2	LTL_S3
LYRM7	6356	346	520	388
AC034228.4	565	0	0	0
AC034228.7	479	0	0	0
AC034228.3	925	0	0	0
AC034228.2	462	0	0	0
IL3	1055	0	0	0
CSF2	787	0	0	1
snoZ6	278	0	0	0
AC063976.3	383	0	0	0
P4HA2-AS1	842	1	2	3
SLC22A4	2518	171	138	144
AC034220.3	2484	173	225	177
MIR3936	111	62	61	42
C5orf56	4180	8	11	20
AC116366.5	1002	1	1	2
AC116366.6	3732	10	9	12
IRF1	3803	70	128	226
IL5	820	1	0	3
RAD50	6739	927	1212	1298
IL13	1836	0	0	2
IL4	721	0	0	1
AC004237.1	505	3	3	4
KIF3A	6536	650	747	703
CCNI2	2633	42	53	64
SEPT8	6645	2086	2399	3601
SOWAHA	3457	364	418	536
AC004775.5	754	3	1	3
SHROOM1	4163	158	184	173
RNA5SP192	121	0	0	0
GDF9	2861	23	33	25
UQCRQ	1022	1011	1497	1119
LEAP2	2210	71	100	72
CTC-350I8.1	396	2	7	4
ZCCHC10	2439	305	422	346
HSPA4	4983	2526	2975	2609
RP11-485M7.3	680	2	0	0
CTB-49A3.5	3282	4	4	4
CTB-49A3.4	420	0	1	1
CTB-3M24.3	277	0	0	0
MIR1289-2	112	0	0	0
AC005195.1	105	1	0	0
CTD-2131I18.1	686	0	0	0
VDAC1	2616	2287	2948	2559
CTB-113I20.2	417	2	8	12
TCF7	4593	73	78	103
SKP1	10352	2956	3886	2937
CTD-2410N18.5	486	0	0	0
PPP2CA	4697	1540	1928	1646
MIR3661	97	0	0	0
UBE2B	2908	273	337	320
RP11-215P8.3	522	13	14	12
CDKN2AIPNL	1761	270	305	265
RP11-215P8.4	672	0	1	0
RNU6-456P	108	0	0	0
AC005355.2	1109	9	17	20
RN7SL541P	286	0	0	7
PHF15	7105	686	599	640
RNU6-1311P	108	0	0	0
SEC24A	6991	546	740	737
RNU6-1164P	108	0	0	1
RNU6-757P	101	5	0	1
DDX46	5762	973	1211	1093
C5orf24	5328	1261	1610	1570
PCBD2	6593	300	336	299
MIR4461	75	0	0	0
CATSPER3	1585	7	21	11
PITX1	2476	1	1	2
CTC-276P9.1	838	0	0	0
CTC-276P9.2	535	1	0	0
CTC-276P9.3	543	0	0	0
CTC-349C3.2	2166	0	0	1
H2AFY	12774	1363	1474	1482
CTC-203F4.2	2018	4	5	8
C5orf20	3135	0	0	0
TIFAB	5925	0	0	0
CTB-138E5.1	506	0	0	0
NEUROG1	1650	0	0	0
CTC-321K16.1	892	6	0	1
CXCL14	1975	93	35	59
CTC-321K16.4	2144	5	3	0
AC009009.1	99	1	0	0
AC011431.2	87	0	0	0
MIR5692C1	92	0	0	0
AC114296.1	90	0	0	0
RP11-119J18.1	379	1	0	1
SLC25A48	4929	26	3	3
IL9	596	0	0	0
GS1-39E22.2	416	0	0	0
GS1-39E22.1	776	0	0	0
VTRNA2-1	128	104	141	146
SMAD5-AS1	1818	22	24	34
SMAD5	7021	1628	2281	2093
TRPC7-AS1	462	1	2	3
TRPC7-AS2	709	0	0	0
RP11-114H21.2	679	0	0	0
CTB-1I21.1	567	4	3	2
RNA5SP193	108	0	0	0
AC106775.1	69	0	0	0
MIR874	79	1	1	0
RP11-381K20.5	502	6	4	7
HNRNPA0	2966	1876	2645	2177
RP11-381K20.4	392	0	2	2
NPY6R	2990	47	46	61
RP11-381K20.2	1681	20	34	26
MYOT	2347	15	13	24
AC106753.1	99	0	2	1
RP11-325L7.1	1255	3	6	0
RP11-325L7.2	648	1	4	1
RNU6-1148P	105	0	0	0
WNT8A	1788	2	3	2
NME5	1469	142	263	149
RNU6-460P	109	2	2	3
RNU6-888P	102	3	2	0
KIF20A	3220	38	56	219
CDC23	3845	895	1289	1052
GFRA3	2047	10	4	10
RN7SL682P	260	0	0	0
FAM53C	4723	683	747	702
RP11-256P1.1	413	0	0	0
REEP2	2531	72	117	127
EGR1	3140	2260	3290	2775
ETF1	4275	1257	1646	1416
HSPA9	3338	4014	4744	4081
AC034243.1	589	11	26	14
RN7SL867P	336	3	3	1
LRRTM2	6097	87	56	104
RNA5SP194	114	0	0	0
CTB-46B19.2	2388	23	17	10
RNU6-572P	81	0	0	0
MATR3	7002	6537	8905	7813
SNORA74A	199	83	151	104
RNA5SP195	118	0	1	4
RN7SKP64	329	6	9	5
PAIP2	2448	379	432	387
CTB-43P18.1	666	0	0	0
SLC23A1	2406	149	128	97
MZB1	881	7	12	15
PROB1	3252	32	33	36
SPATA24	711	54	73	44
DNAJC18	5885	292	419	387
RNU5B-4P	112	0	0	0
ECSCR	294	0	0	5
AC138517.1	400	0	0	2
TMEM173	2015	4	6	78
CTD-3224K15.3	544	4	6	14
CXXC5	2760	2137	2561	2321
CTD-3224K15.2	579	14	7	15
RNU6-236P	107	0	0	0
CTB-35F21.2	415	1	1	5
CTB-35F21.3	555	0	1	0
CTB-35F21.5	169	0	1	0
CTB-35F21.4	472	0	0	0
PURA	3022	309	310	307
IGIP	2872	123	102	116
CTB-131B5.5	588	0	4	1
AC011379.1	91	0	0	0
CTB-131B5.2	3026	9	9	13
PFDN1	1365	559	689	623
CTC-329D1.3	572	0	0	0
SLC4A9	3428	7	10	6
CTC-329D1.2	551	9	24	10
RNU4-14P	123	0	0	0
SNORD45	371	1	1	1
EIF4EBP3	694	8	2	10
SRA1	2230	258	401	330
APBB3	2843	308	543	506
SLC35A4	4026	549	745	576
SNORA27	610	28	41	31
CD14	1888	1	4	0
NDUFA2	1372	666	833	561
TMCO6	2271	111	229	188
IK	2162	1072	1526	1181
MIR3655	84	0	0	0
WDR55	4108	345	369	430
DND1	1609	0	1	9
HARS	5141	751	994	847
HARS2	2653	646	901	705
ZMAT2	1640	901	1192	882
VTRNA1-1	100	6	19	13
VTRNA1-2	90	0	0	1
VTRNA1-3	90	301	728	499
AC005609.1	2885	70	74	78
PCDHA14	485	0	0	0
PCDHB1	2535	12	19	13
PCDHB2	2737	553	828	611
AC005754.7	583	21	19	16
PCDHB3	3174	83	114	80
AC005754.8	2087	42	55	53
PCDHB4	3622	41	40	40
PCDHB5	2905	238	365	267
PCDHB6	3187	13	17	13
PCDHB17	3064	11	11	12
PCDHB7	3716	11	16	18
PCDHB8	2712	4	6	12
PCDHB16	4815	40	55	63
PCDHB10	3275	78	133	118
PCDHB11	3437	51	88	63
PCDHB12	3429	20	46	34
PCDHB13	3486	47	77	79
PCDHB14	2929	143	260	220
PCDHB18	3165	9	12	12
PCDHB15	2654	105	142	158
SLC25A2	1418	5	2	2
TAF7	2275	1546	2304	1883
AC005618.6	3149	12	23	19
PCDHGA8	4609	30	40	28
PCDHGA9	4609	21	32	38
PCDHGB6	4603	133	225	238
PCDHGA10	4621	119	166	173
PCDHGB7	4600	85	107	113
PCDHGA11	3940	43	45	59
PCDHGB8P	1974	28	28	37
PCDHGA12	4751	16	10	26
PCDHGC3	4715	186	263	421
RN7SL68P	309	2	5	7
PCDHGC4	4627	31	20	37
PCDHGC5	4645	14	13	19
CTD-2024I7.13	2483	28	20	28
AC008781.7	624	4	18	12
HDAC3	1974	577	782	693
RELL2	2603	20	14	15
FCHSD1	4942	215	263	325
PCDH1	5362	112	278	383
KIAA0141	5526	1043	1314	1138
PCDH12	6824	54	80	178
AC005740.6	958	11	3	5
RNF14	4345	865	1156	1035
AC005740.5	347	7	5	7
GNPDA1	3385	707	716	666
NDFIP1	4103	2043	3049	2293
SPRY4	5509	67	78	204
AC005215.1	92	0	1	0
FGF1	4490	68	19	83
AC005370.1	84	0	1	0
AC005592.3	1641	3	8	4
AC005592.1	2241	14	36	20
ARHGAP26-AS1	996	2	7	1
ARHGAP26-IT1	390	2	1	2
CTD-2050E21.1	562	1	0	1
RNU7-156P	75	0	0	0
CTD-2050E21.2	529	0	0	0
MIR5197	113	0	0	0
HMHB1	386	0	0	0
RN7SL87P	287	0	0	0
YIPF5	3404	941	1351	1118
CTC-218H9.1	474	1	2	2
RN7SKP246	318	0	1	0
AC132803.1	86	0	0	0
CTC-367F4.1	495	6	4	4
CTC-806A22.1	532	2	3	3
CTB-73N10.1	657	3	5	5
GRXCR2	750	1	0	0
PLAC8L1	642	3	5	6
LARS	4804	1529	2285	2086
RNU7-180P	64	0	1	1
POU4F3	1184	0	1	1
CTC-359M8.3	514	0	0	0
CTB-1H10.1	314	0	0	0
GPR151	3089	0	6	2
CTB-99A3.1	695	1	1	1
RNA5SP196	103	0	0	0
RN7SL791P	294	0	2	1
AC011357.1	71	2	0	1
PPP2R2B-IT1	451	0	3	1
CTC-255N20.1	866	1	0	1
CTB-108O6.2	238	0	0	0
SPINK1	1482	43	69	34
SCGB3A2	898	0	1	0
C5orf46	1237	0	1	1
CTC-327F10.5	794	1	0	0
CTC-327F10.4	594	0	0	0
SPINK14	298	0	1	0
CTC-295J13.3	228	2	1	2
SPINK13	1181	6	6	7
SPINK7	591	4	11	7
AC091948.1	125	1	0	4
FBXO38	4451	1035	1275	1210
CTD-2283N19.1	516	8	4	13
HTR4-IT1	1705	0	0	0
ADRB2	2042	1	1	23
RP11-44B19.1	315	0	0	0
SH3TC2	6975	3	6	1
RNU6-732P	104	0	0	0
MIR584	98	0	0	0
CTC-529P8.1	3093	0	0	0
RN7SKP145	304	0	0	0
AFAP1L1	4247	106	118	193
GRPEL2	4424	379	478	466
GRPEL2-AS1	403	4	7	8
PCYOX1L	2949	177	484	360
RP11-394O4.3	590	1	2	3
MIR143HG	8400	22	20	224
AC131025.8	5133	8	7	45
MIR143	107	0	0	5
MIR145	89	0	2	7
CTB-89H12.4	3091	41	55	57
ARHGEF37	4981	41	30	54
AC021078.1	143	0	0	0
RNU6-588P	106	0	0	1
RN7SL868P	302	0	0	0
MIR378A	67	1	0	1
SLC26A2	8083	385	548	674
TIGD6	4642	113	156	128
CSF1R	4168	4	13	24
PDGFRB	6300	187	182	1636
SLC6A7	4114	0	1	2
CAMK2A	5501	20	21	99
ARSI	3163	8	4	8
TCOF1	5847	807	980	923
CD74	1683	437	482	369
RPS14	1830	5969	9089	6688
CTC-367J11.1	371	3	5	3
NDST1	8319	1518	1517	1666
SYNPO	10265	314	152	796
CTB-140J7.2	620	3	0	1
MYOZ3	4725	11	9	30
CTC-345K18.2	427	0	0	0
DCTN4	4793	1128	1478	1390
SMIM3	2334	1	0	1
AC010441.1	1976	0	0	0
IRGM	1661	1	0	0
ZNF300	4417	473	786	786
ZNF300P1	3119	1	5	3
GPX3	1802	2145	1001	1594
TNIP1	4155	871	811	881
ANXA6	3546	1566	2352	2414
CTB-17P3.4	250	0	0	3
GM2A	3900	646	961	786
SLC36A3	2590	0	2	0
SLC36A2	3608	6	6	1
AC034205.1	73	0	0	0
RNA5SP197	120	0	0	0
FAT2	14557	598	1198	611
CTC-251D13.1	3318	6	7	11
CTB-113P19.4	1569	4	6	4
SPARC	3726	8140	12324	17604
CTB-113P19.1	2197	38	31	68
RN7SKP232	291	0	0	0
CTB-113P19.5	527	9	6	8
CTB-113P19.3	573	6	10	13
RP11-54C4.1	521	10	17	19
G3BP1	10441	3441	4667	3773
RNA5SP198	128	0	0	0
RN7SL177P	298	0	0	0
AC091962.3	541	0	0	0
RP11-461L18.1	1766	0	0	1
FAM114A2	5358	337	396	361
AC010295.1	77	0	0	1
AC008625.1	96	0	1	0
MIR1294	143	1	0	2
RN7SL655P	297	1	1	0
SAP30L	6271	744	704	754
HAND1	1740	0	1	0
CTB-158E9.1	1736	0	0	0
MIR3141	62	0	0	0
MIR1303	87	0	0	1
RN7SL439P	269	0	0	1
FAXDC2	3781	93	130	147
MIR378H	84	1	1	4
CNOT8	3154	587	830	807
MRPL22	3404	246	302	279
KIF4B	4427	0	0	1
AC008410.1	88	0	0	0
RNA5SP199	93	0	0	0
CTC-340I23.2	463	0	1	0
RNU6-556P	106	0	0	0
HAVCR1	2160	126	118	117
HAVCR2	3172	22	15	43
CTB-120L21.1	277	0	1	1
MED7	2780	307	388	284
FAM71B	2517	0	0	0
AC010609.1	116	0	0	0
CTC-248O19.1	914	2	5	0
FNDC9	2127	6	10	19
CTB-109A12.1	1994	8	6	22
CTB-47B11.3	2081	11	12	16
AC106801.1	1847	0	0	5
RNU6-390P	104	0	0	0
SOX30	3478	7	7	6
C5orf52	689	0	1	0
AC008694.3	430	0	0	1
THG1L	3113	229	370	282
AC026407.1	195	0	0	0
LSM11	6588	195	210	245
CLINT1	4052	1896	2213	2024
RNU6-260P	108	2	1	1
RNU2-48P	192	2	1	2
CTC-436K13.5	316	0	0	0
CTC-436K13.1	683	0	0	0
CTC-436K13.6	776	0	0	0
CTC-436K13.3	550	0	1	1
CTC-436K13.2	348	0	0	0
RP11-542A14.1	708	0	1	0
RP11-542A14.2	215	1	0	0
RP11-32D16.1	694	0	0	0
CTD-2363C16.1	566	5	1	7
CTD-2363C16.2	545	7	4	12
RP11-175K6.1	2667	0	0	7
CTB-11I22.1	641	0	0	1
CTB-11I22.2	576	0	0	0
SNORA68	744	672	1163	805
UBLCP1	2399	405	582	493
IL12B	2769	0	0	0
RNU4ATAC2P	127	0	0	0
AC008697.1	1585	1	2	1
AC008703.1	2019	0	0	0
AC008703.2	74	0	0	0
AC008691.1	563	0	0	0
TTC1	1762	430	602	503
AC008706.1	65	0	0	0
CTB-127C13.1	2893	0	0	0
CCNJL	3954	68	106	100
RN7SL295P	274	3	0	0
C5orf54	2928	190	326	301
SLU7	3809	863	1182	1019
PTTG1	1154	160	258	320
MIR3142	83	0	0	0
MIR146A	100	1	1	7
CTC-348L5.1	733	0	1	0
AC011363.1	96	0	0	0
CTC-529G1.1	462	0	6	8
RP11-109J4.1	2326	1	0	1
AC022120.1	99	0	0	0
RP11-348M17.2	451	0	0	0
GABRA1	5379	2	3	0
GABRG2	4309	0	4	1
RP11-96G10.1	602	0	3	2
RNU6-164P	104	0	0	0
CCNG1	2477	4261	4689	4340
AC112205.1	101	0	0	0
NUDCD2	8506	477	602	483
HMMR	3300	56	92	137
RP11-80G7.1	960	2	0	1
MAT2B	3801	1616	1946	1590
RNU6-168P	102	0	0	0
CTB-32P11.1	391	0	0	0
CTD-2313P7.1	524	0	0	0
RNU6-209P	108	0	0	0
CTB-181F24.1	1867	0	0	3
RN7SKP60	240	0	0	0
RP11-67M9.1	536	0	0	0
AC122720.1	89	0	0	1
CTB-7E3.1	569	0	0	0
CTC-264O10.2	492	0	0	1
CTB-180C19.1	525	0	0	1
CTB-105L4.2	530	0	0	0
CTB-78F1.1	1126	0	0	1
CTB-78F1.2	476	0	1	1
AC093304.1	122	0	0	0
CTB-77H17.1	491	0	0	0
CTB-178M22.1	2187	0	0	2
CTB-178M22.2	506	1	5	5
RARS	2272	1050	1349	1213
FBLL1	1520	6	19	9
PANK3	10513	4238	5581	5204
MIR103A1	87	7	14	8
CTC-558O2.2	813	1	5	2
CTC-558O2.1	3484	2	11	20
MIR218-2	111	0	0	1
CTB-174D11.2	368	1	4	6
CTB-174D11.1	3135	18	34	61
MIR585	95	0	0	0
RNU6-477P	108	0	0	0
SPDL1	3250	197	301	371
CTB-37A13.1	285	0	0	0
MIR378E	80	0	0	0
FOXI1	2312	0	0	0
CTB-27N1.1	2318	0	0	0
C5orf58	2675	0	0	1
LCP2	4920	0	0	0
CTB-114C7.3	986	0	0	0
KCNMB1	6083	0	1	18
CTD-2270F17.1	1218	0	0	0
CTB-147C13.1	569	0	0	1
CTC-265N9.1	1577	0	0	0
MIR4454	1197	0	0	0
GABRP	3682	3	1	0
RN7SL623P	309	0	1	1
TLX3	1496	0	0	0
RN7SL339P	295	0	0	0
MIR3912	106	0	0	0
NPM1	2619	6122	8716	7843
FGF18	1991	1	2	1
AC011410.1	192	0	0	0
CTB-78H18.1	707	0	0	0
C5orf50	473	0	0	1
AC113342.1	73	0	0	0
EFCAB9	706	1	1	3
AC008671.1	115	2	1	1
AC011407.1	93	0	0	0
CTB-54I1.1	419	0	0	0
AC027309.1	193	0	0	0
MIR5003	100	0	0	0
CTB-79E8.2	530	0	0	0
RP11-779O18.1	475	0	1	1
RP11-779O18.3	354	0	1	1
DUSP1	2023	508	695	804
RP11-536N17.1	584	0	0	0
CTC-308K20.1	2785	32	42	27
CTC-308K20.2	492	1	0	3
RPL26L1	962	296	450	280
ATP6V0E1	1627	1191	1483	1179
SNORA74B	202	62	57	68
CTC-209H22.3	498	0	2	0
BNIP1	1393	94	120	100
NKX2-5	2003	2	0	0
RNA5SP200	104	0	0	0
RNU6-500P	108	0	0	0
CTB-32H22.1	543	0	1	0
CTB-164N12.1	756	0	0	0
CTB-33O18.1	458	0	1	1
CTB-33O18.2	459	0	0	1
CTB-33O18.3	3018	24	20	18
BOD1	1670	1064	1292	987
CTB-43E15.1	496	1	0	0
CTB-43E15.2	516	5	1	0
AC008674.1	101	0	0	0
CTB-43E15.4	617	0	0	0
CPEB4	9834	1576	1652	1501
RP11-619L12.3	291	0	0	0
RP11-619L12.4	693	0	0	0
CTC-229L21.1	438	0	0	0
CTC-430J12.2	560	0	0	0
RP11-267A15.3	663	0	0	0
MSX2	2272	16	61	44
MIR4634	55	0	0	0
CTD-2532K18.2	289	0	0	0
CTC-281M20.1	1928	0	0	0
CTC-281M20.4	344	0	0	0
DRD1	4056	0	3	6
SFXN1	4791	732	979	889
RN7SKP148	276	0	0	0
RNU6-226P	108	0	0	0
AC138965.1	94	2	2	1
THOC3	2618	74	78	78
RP11-91H12.3	796	0	0	0
RP11-826N14.1	686	0	0	0
RP11-826N14.2	1519	0	0	0
RP11-844P9.1	356	0	0	0
RP11-826N14.4	925	1	0	2
RP11-844P9.2	3655	25	42	60
KIAA1191	3000	1987	2471	2067
RP11-843P14.2	507	12	17	16
RP11-843P14.1	530	18	13	21
ARL10	10849	257	301	562
MIR1271	87	2	0	0
NOP16	1839	129	202	186
HIGD2A	670	425	501	435
CLTB	1804	196	289	238
AC010297.1	112	0	0	0
RNF44	4798	434	501	598
CDHR2	4598	1478	1161	897
RN7SL684P	293	4	8	3
SNCB	1590	0	0	0
MIR4281	63	0	0	0
EIF4E1B	2136	0	0	0
TSPAN17	3233	370	449	430
RP11-375B1.1	580	0	0	0
RP11-375B1.3	562	4	10	0
HK3	3085	0	0	1
ZNF346	4254	185	258	257
ZNF346-IT1	747	6	8	13
FGFR4	3268	1800	1815	1497
RAB24	1427	330	368	425
PRELID1	1405	350	424	368
MXD3	3298	98	87	124
LMAN2	1831	1775	2107	1720
RN7SL562P	246	0	0	0
RGS14	2482	714	606	466
PFN3	531	4	1	0
F12	2228	118	86	46
GRK6	3293	395	477	449
PRR7-AS1	1708	42	70	78
PRR7	1555	35	42	40
DBN1	4484	1822	2264	2171
PDLIM7	2437	304	426	874
RP11-1334A24.6	436	4	3	10
DOK3	3459	21	25	40
DDX41	2624	814	1007	911
RP11-1277A3.3	542	6	4	6
TMED9	1478	910	1111	1027
B4GALT7	1753	322	420	297
RP11-1277A3.1	1754	53	83	79
RP11-1101H11.1	434	0	3	0
RP11-1026M7.3	686	0	0	0
RP11-423H2.5	796	0	0	0
RP11-423H2.1	1576	115	138	130
AC106795.1	94	0	0	0
RP11-1252I4.2	549	0	0	2
RP11-423H2.3	1428	5	10	7
PROP1	1467	0	0	1
N4BP3	6085	30	62	82
RMND5B	4078	418	562	483
NHP2	869	202	289	222
HNRNPAB	1877	876	1162	1169
PHYKPL	4438	521	608	648
RP11-1259L22.1	668	0	0	0
RN7SL646P	296	0	0	1
CTB-26E19.1	1460	2	1	0
CLK4	4308	645	838	1002
RN7SKP70	272	13	16	12
ZNF354A	2489	513	660	506
AACSP1	2833	67	119	65
ZNF354B	3435	534	649	681
RNU1-39P	166	0	0	0
ZFP2	2768	125	180	120
RP11-281O15.8	548	2	6	5
RP11-281O15.4	676	16	10	13
GRM6	6520	28	28	29
ZNF879	3343	191	242	253
ZNF354C	5416	407	683	620
RP11-443C10.2	362	0	0	0
RP11-443C10.1	626	0	0	0
RP11-798K23.1	563	0	0	0
RN7SL71P	294	0	0	0
RP11-798K23.4	537	17	10	6
RUFY1	3546	931	960	834
RP11-1379J22.2	1975	34	41	58
C5orf60	1214	0	0	0
AC136604.1	930	0	2	0
RP11-1379J22.5	825	5	5	6
CBY3	787	2	5	7
HMGB3P22	599	4	8	4
CANX	4463	10745	12894	11329
LTC4S	671	0	0	0
MGAT4B	3887	1902	2023	1852
MIR1229	70	0	0	0
SQSTM1	6080	1160	995	1019
C5orf45	7091	483	551	524
RN7SKP150	322	1	7	10
CTC-241N9.1	1456	29	53	47
CTC-563A5.2	571	8	7	16
MIR340	96	0	0	0
CTB-129O4.1	395	9	12	9
GFPT2	3293	14	21	33
CTC-573N18.1	808	0	0	0
RNU6-525P	105	0	0	0
AC122714.1	87	1	2	0
SCGB3A1	524	0	6	3
FLT4	6305	134	391	329
RP11-451H23.3	1041	0	0	0
RNU1-17P	153	0	0	0
OR2Y1	1059	0	0	0
CTC-205M6.5	3089	35	38	45
LINC00847	1874	153	285	251
ZFP62	4027	888	1240	1019
BTNL3	2448	0	0	1
RNU6-1036P	105	0	0	0
OR2V1	949	0	0	0
OR2V2	949	0	0	0
CTC-338M12.2	413	13	25	24
CTC-338M12.5	490	6	7	6
TRIM7	7345	4	9	8
CTC-338M12.6	1491	0	2	0
CTC-338M12.1	458	0	1	0
MIR4638	69	0	0	0
TRIM41	3692	535	753	560
CTC-338M12.7	568	6	3	5
GNB2L1	2785	9811	14210	11572
SNORD96A	80	48	81	74
SNORD95	138	143	89	61
CTC-338M12.4	1850	44	43	59
TRIM52	4116	280	393	341
AC008443.1	1860	0	0	2
TRIM52-AS1	1320	95	144	100
CTC-338M12.9	551	153	199	229
RNU6-705P	105	7	5	11
AC138035.2	2663	0	1	0
AC138035.1	730	2	0	2
OR4F3	996	0	0	0
GGNBP1	966	0	1	0
LINC00336	2109	8	4	4
CCND3	3767	178	248	316
PGM3	6351	736	875	935
PLEKHG1	7368	409	577	578
TCP10	3711	0	0	0
GMDS	2230	212	232	257
BPHL	2755	438	530	343
RP1-40E16.11	697	23	22	15
LYRM4	8550	231	360	278
F13A1	4014	33	22	49
SSR1	11032	1520	1955	1917
CAGE1	3469	3	2	4
NOL7	1540	78	125	83
RANBP9	3495	552	744	641
KIF13A	9334	938	1157	1271
CDKAL1	3375	563	675	603
ZSCAN31	4212	178	242	224
OR5V1	7223	0	0	0
C6orf106	4557	1121	1215	1184
FKBP5	10641	37	88	171
DNAH8	14874	6	5	7
DAAM2	7033	37	22	135
RRP36	2172	460	573	482
RP5-1120P11.1	2302	5	18	6
SUPT3H	3005	257	312	223
ENPP5	4269	287	385	262
TRAM2	6919	548	563	930
RP1-27K12.2	3658	0	0	0
DST	31606	6193	5693	5267
KHDRBS2	2341	293	190	229
EYS	14271	90	117	101
KCNQ5	6892	3	7	28
CD109	9597	127	67	214
MYO6	8822	4135	4770	5239
PHIP	13291	1983	2637	2840
TTK	3871	48	50	168
KIAA1009	5250	418	479	596
RP1-102H19.8	1224	14	24	26
RP11-459O1.2	308	36	20	3
ANKRD6	6257	479	573	493
MAP3K7	7243	945	1293	1385
FUT9	13724	495	1109	691
KLHL32	3709	94	86	122
RP11-436D23.1	1969	2	0	4
FIG4	3258	581	648	577
RP3-399L15.3	8097	27	34	54
SLC35F1	4860	55	248	103
MAN1A1	5530	2420	2662	1627
TBC1D32	5350	276	486	434
TRDN	6077	1	1	5
NKAIN2	4086	4	3	26
ARHGAP18	4569	1644	1793	1557
ALDH8A1	2565	367	108	114
PDE7B	5403	84	113	112
IL20RA	4302	0	2	4
PERP	4293	1085	1684	1112
HECA	5618	294	317	447
AIG1	5540	2022	2316	1635
UTRN	13132	4598	5815	6171
SAMD5	6091	224	171	332
KATNA1	2009	234	344	308
ESR1	13179	13	22	25
TIAM2	9842	130	172	202
ARID1B	9969	715	866	981
SNX9	4216	1382	1540	1438
IGF2R	9336	3820	3205	4191
MAP3K4	5621	750	966	903
PARK2	4519	168	225	181
PACRG	1851	63	177	103
WDR27	5398	444	631	634
IRF4	5634	1	3	1
EXOC2	4931	552	714	681
RP1-20B11.2	853	6	7	2
NQO2	1951	384	311	393
PSMG4	6354	130	165	228
SLC22A23	7656	344	222	405
PRPF4B	5542	2042	2520	2415
CDYL	4154	375	505	535
FARS2	1986	192	247	208
LY86-AS1	5617	1	0	0
RREB1	8964	1078	1168	1154
SNRNP48	4182	350	407	397
BMP6	2787	36	73	32
TXNDC5	3555	34	47	29
BLOC1S5-TXNDC5	3043	0	1	0
OFCC1	1198	0	1	3
GCNT2	7670	444	443	360
SYCP2L	3455	42	51	50
RP11-637O19.3	1608	0	0	0
GCM2	2446	4	7	8
ELOVL2	4005	485	490	366
NEDD9	8284	533	898	881
HIVEP1	10557	576	685	733
PHACTR1	7348	272	357	340
GFOD1	10627	9	11	55
RP11-146I2.1	1021	3	1	3
JARID2	6512	434	618	869
DTNBP1	2701	108	135	175
GMPR	1576	18	28	40
ATXN1	13714	655	861	1183
CAP2	3329	94	59	98
NUP153	5641	1039	1413	1456
KDM1B	4655	135	181	228
RP1-167F1.2	799	36	87	100
MBOAT1	3301	279	381	519
RP11-239H6.2	383	0	0	1
E2F3	4782	212	284	339
CASC15	4462	25	40	49
RP3-404K8.2	345	0	1	0
RP1-209A6.1	874	0	0	0
DCDC2	4918	3270	4117	3889
ALDH5A1	5298	612	790	681
KIAA0319	7027	27	111	45
FAM65B	7081	93	103	101
RP11-367G6.3	1033	5	16	4
LRRC16A	5757	1576	1872	1162
SCGN	1458	1	5	7
SLC17A1	2057	1169	1067	1103
BTN2A1	3658	422	556	540
GUSBP2	1462	25	55	40
ZNF165	2111	148	175	141
SCAND3	10251	1	3	1
ZNF311	22271	3	5	3
XXbac-BPG308J9.3	2491	0	0	0
ZNRD1-AS1	19544	0	3	0
HCG17	4913	0	0	0
HCG18	43118	22	28	32
ABCF1	27819	0	0	0
MDC1	60728	0	0	0
MDC1-AS1	5928	0	0	0
MSH5	29030	2	4	3
MSH5-SAPCD1	20580	0	0	0
EHMT2	30445	0	0	0
BTNL2	12099	1	1	1
ZBTB9	5436	9	11	5
GRM4	6322	13	35	35
HMGA1	2333	645	954	774
NUDT3	9910	409	657	559
RPS10-NUDT3	885	0	2	1
PACSIN1	4422	2	3	5
SNRPC	1284	650	891	676
ANKS1A	6791	1139	1285	1041
ZNF76	2843	366	538	437
PPARD	4467	331	487	426
LHFPL5	2967	0	0	0
SLC26A8	3847	8	6	6
MAPK14	4412	1074	1427	1234
BRPF3	6070	801	885	854
KCTD20	5627	1258	1515	1662
SRSF3	5290	3727	5525	3982
PPIL1	1815	406	685	443
TMEM217	1591	12	12	15
RNF8	6155	412	457	412
RP1-153P14.8	541	1	0	0
MDGA1	9690	4	3	17
ZFAND3	3581	697	867	805
BTBD9	8971	470	564	553
GLO1	2358	1349	1950	1725
KCNK5	3761	401	288	415
KIF6	12159	40	72	53
LRFN2	3273	18	26	38
APOBEC2	1154	10	18	19
FOXP4	5966	364	423	547
TFEB	4390	51	78	89
USP49	10645	167	265	293
C6orf132	6858	301	294	409
TRERF1	7750	143	195	184
UBR2	9048	1694	2027	1869
PTK7	5853	1976	2551	2726
TTBK1	7520	18	31	24
XPO5	5536	1086	1306	1192
MRPS18A	1068	181	204	178
RP11-444E17.6	3523	10	13	17
RUNX2	7574	48	33	49
CLIC5	4914	391	283	891
RCAN2	3713	298	663	357
CYP39A1	2628	56	72	51
TDRD6	8981	24	26	29
MEP1A	2906	0	0	0
CD2AP	5694	2024	2341	2302
PTCHD4	5011	36	31	33
MUT	3762	724	955	886
CRISP2	1392	0	0	2
CRISP1	2009	17	8	12
RP1-28O17.1	566	1	0	0
TFAP2D	1865	0	0	0
PKHD1	17522	3417	2954	2359
EFHC1	6149	711	1226	1065
FBXO9	5220	575	732	718
